Time,InsectName,StartYear,StopYear,MeanDefoliation,NumSitesDefoliated0_33,NumSitesDefoliated33_66,NumSitesDefoliated66_100,NumOutbreakInitialSites,MortalityBiomass,
0, GypsyMoth, 0, 0, 0, 0, 0, 0, 0, 0, 
1, GypsyMoth, 0, 0, 0, 0, 0, 0, 0, 0, 
2, GypsyMoth, 0, 0, 0, 0, 0, 0, 0, 0, 
3, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
4, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
5, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
6, GypsyMoth, 13, 16, 0, 0, 0, 0, 1, 0, 
7, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
8, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
9, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
10, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
11, GypsyMoth, 4, 7, 0, 0, 0, 0, 1, 0, 
12, GypsyMoth, 13, 16, 0, 0, 0, 0, 0, 0, 
13, GypsyMoth, 13, 16, 0, 0, 0, 0, 0, 0, 
14, GypsyMoth, 13, 16, 0, 0, 0, 0, 0, 0, 
15, GypsyMoth, 21, 24, 0, 0, 0, 0, 0, 0, 
16, GypsyMoth, 13, 16, 0, 0, 0, 0, 0, 0, 
17, GypsyMoth, 13, 16, 0, 0, 0, 0, 0, 0, 
18, GypsyMoth, 13, 16, 0, 0, 0, 0, 0, 0, 
19, GypsyMoth, 13, 16, 0, 0, 0, 0, 0, 0, 
